area,floor,price,rooms,floors_total,year,latitude,longitude
107.6,8,16000000,3,15,2005,59.98485,30.260029
59.0,4,6000000,2,5,1958,59.984922,30.349052
24.0,9,3050000,0,12,2017,59.841975,30.113127000000002
52.8,10,7000000,2,10,2008,59.865424,30.370764
42.0,10,4800000,1,19,2017,59.977976,30.436638000000002
58.0,4,5950000,3,9,0,59.947297,30.497066999999998
62.6,8,8540000,2,18,2010,60.008697999999995,30.202132000000002
74.2,4,7300000,3,10,1993,59.92430699999999,30.459796
50.0,7,4895000,2,12,0,59.941213,30.488622999999997
74.6,12,5500000,3,18,2015,60.064358,30.457973
45.3,6,7550000,1,16,2008,59.842766000000005,30.328903000000004
113.0,9,23000000,4,9,2018,59.909847,30.349214
230.0,2,24000000,7,6,1911,59.911448,30.308232
65.0,12,6900000,3,12,2000,59.843042000000004,30.170296
94.0,14,15050000,3,25,2004,59.993846999999995,30.309435999999998
31.4,2,4000000,1,4,1961,59.724437,30.416533
60.0,3,6600000,2,14,1973,60.015597,30.411897999999997
45.0,2,4000000,2,5,1962,59.887679000000006,30.487132
111.5,2,15000000,3,5,1880,59.939379,30.358565000000002
29.0,5,4400000,0,16,2012,60.01365,30.388281
23.4,8,3300000,0,18,2019,59.82028199999999,30.3382
231.2,4,25000000,5,5,0,59.92309,30.336017
166.0,9,28500000,3,9,2018,59.9303,30.38352
120.0,12,18000000,3,17,2005,60.034465000000004,30.329406
54.8,6,5000000,3,9,1970,59.904302,30.47213
58.1,5,10000000,3,5,1962,59.863549,30.343644
42.0,3,5400000,1,12,1982,59.846458999999996,30.425247
50.0,4,4580000,2,9,1978,59.84998,30.200228000000003
43.6,4,4975000,2,25,2017,60.053952,30.327196
55.0,4,7350000,2,8,2013,59.913143999999996,30.449996000000002
130.0,15,11650000,3,16,2009,59.841843999999995,30.349365999999996
83.0,8,7800000,3,26,2012,60.073167000000005,30.332010999999998
88.9,2,13200000,2,5,2015,59.983779000000006,30.281094
41.0,20,5950000,1,20,2012,60.05295,30.311861999999998
64.0,2,7800000,3,12,1978,60.070828000000006,30.321357
92.6,17,11790000,3,17,2007,60.008697999999995,30.202132000000002
103.3,2,12500000,3,9,2009,59.964962,30.49157
43.8,3,5700000,2,9,0,59.83909499999999,30.361512
41.2,7,4900000,2,9,1966,59.851783,30.365626000000002
63.0,9,7400000,4,10,1967,59.934952,30.246078000000004
45.0,5,9000000,1,23,2008,59.957354,30.343914
44.7,5,4850000,2,5,1963,60.008680000000005,30.39633
110.0,9,24500000,3,10,2017,59.96271899999999,30.267484999999997
62.4,2,7700000,2,25,2016,59.98611,30.373756
78.9,2,8400000,2,18,2003,59.980258,30.391731
85.0,3,9990000,3,17,2005,59.84814,30.41409
71.7,4,11700000,2,14,1905,59.905181000000006,30.324187
73.0,2,8500000,2,5,0,59.924578000000004,30.323333
35.7,4,4150000,1,21,2016,59.987564,30.379882000000002
76.0,6,9912346,3,12,1982,59.84814,30.41409
55.5,3,4200000,2,9,1984,59.734312,30.586468
60.0,9,6100000,3,9,1975,60.05139200000001,30.353912
42.7,14,4820000,1,25,2017,60.053952,30.327196
80.1,3,6800000,2,4,1900,59.915544,30.358673
76.7,6,13844350,2,10,2017,59.959233,30.272209999999998
25.0,4,2600000,0,6,2015,59.730352,30.09985
54.0,2,6950000,3,10,1968,59.93264,30.246491
